file;Date;team;DomExt;period;time;athletenum;athletename;action;score;team_adv;position_tir;nb_def_reb;nb_att_reb;nb_att_0;nb_att_1;nb_att_2;nb_att_3;nb_att_4;nb_att_5;nb_att_6;nb_att_tot;score off;trans;score trans;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q1;03:59;15;Wilfried Yeguete;defensive rebound;10;MHP Riesen Ludwigsburg;1;4;2;;2;1;;;1;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q1;02:04;11;Terry Tarpey;defensive rebound;16;MHP Riesen Ludwigsburg;1;2;0;;1;2;;1;;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q1;01:33;11;Terry Tarpey;defensive rebound;16;MHP Riesen Ludwigsburg;1;3;2;;2;;1;;1;1;5;;o;0;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q1;01:28;5;Owen Klassen;defensive rebound;13;Le Mans;5;3;2;;;2;;;1;2;5;;o;3;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q1;00:44;15;Wilfried Yeguete;offensive rebound;16;MHP Riesen Ludwigsburg;3;4;3;;3;;;1;;1;5;2;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q1;00:04;15;Wilfried Yeguete;offensive rebound;18;MHP Riesen Ludwigsburg;1;3;3;;3;;;;1;1;5;1;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q2;09:21;8;Antoine Eito;defensive rebound;21;MHP Riesen Ludwigsburg;3;4;2;;2;1;1;;;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q2;08:35;7;Richard Hendrix;defensive rebound;23;MHP Riesen Ludwigsburg;1;3;1;;1;1;;;1;2;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;07:52;19;Adam Waleskowski;offensive rebound;21;Le Mans;2;3;3;;3;1;;;;1;5;0;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q2;07:45;7;Richard Hendrix;defensive rebound;25;MHP Riesen Ludwigsburg;2;4;3;;3;;;;1;1;5;;o;0;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q2;06:47;9;Demitrius Conger;defensive rebound;27;MHP Riesen Ludwigsburg;6;3;2;;1;2;;1;;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;06:29;4;David McCray;defensive rebound;21;Le Mans;5;4;2;;2;;;;1;2;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;06:13;4;David McCray;offensive rebound;21;Le Mans;6;4;2;;2;1;;;;2;5;0;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q2;05:40;12;Petr Cornelie;defensive rebound;29;MHP Riesen Ludwigsburg;1;4;2;;2;;1;1;;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q2;05:17;7;Richard Hendrix;offensive rebound;29;MHP Riesen Ludwigsburg;6;3;3;;3;;;;;2;5;2;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;04:49;20;Lamont Jones;offensive rebound;21;Le Mans;1;3;3;;3;1;;;;1;5;0;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;04:45;30;Kelan Martin;offensive rebound;21;Le Mans;1;3;3;;3;;1;;;1;5;0;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;04:07;20;Lamont Jones;defensive rebound;24;Le Mans;2;2;1;;1;1;1;;;2;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;02:38;30;Kelan Martin;defensive rebound;26;Le Mans;5;3;1;;1;;;1;1;2;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;01:58;5;Owen Klassen;defensive rebound;30;Le Mans;5;4;3;;3;;1;;;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;01:14;5;Owen Klassen;defensive rebound;32;Le Mans;6;4;3;;3;;;;1;1;5;;o;0;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;01:05;35;Karim Jallow;offensive rebound;32;Le Mans;5;3;2;;2;1;1;;;1;5;3;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q2;00:35;21;Malcolm Hill;defensive rebound;35;Le Mans;1;2;2;;2;;;1;;2;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q2;00:10;9;Demitrius Conger;defensive rebound;33;MHP Riesen Ludwigsburg;1;4;2;1;2;;;;1;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q3;09:41;19;Adam Waleskowski;defensive rebound;35;Le Mans;1;2;1;;2;1;;;;2;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q3;09:28;7;Richard Hendrix;defensive rebound;33;MHP Riesen Ludwigsburg;2;2;1;;1;1;1;1;;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q3;08:29;21;Malcolm Hill;defensive rebound;38;Le Mans;5;3;1;;1;2;;;1;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q3;08:00;21;Malcolm Hill;defensive rebound;40;Le Mans;1;2;1;;1;;1;;;3;5;;o;0;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q3;07:55;9;Demitrius Conger;defensive rebound;35;MHP Riesen Ludwigsburg;5;3;2;;2;1;;;1;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q3;07:36;19;Adam Waleskowski;defensive rebound;40;Le Mans;2;2;1;;1;1;;;2;1;5;;n;;;;;;
